yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
125,4.5229,0.1283,2519,7,4.318,4.3586,4.4331,4.5271,4.6091,4.6923,4.7385,4.3946,4.6512,4.2664,4.7795
126,4.5244,0.1288,2519,7,4.3217,4.3636,4.4331,4.5276,4.6101,4.695,4.7419,4.3957,4.6532,4.2669,4.782
127,4.5254,0.1293,2519,7,4.3201,4.3623,4.433,4.525,4.6109,4.6977,4.7432,4.3961,4.6547,4.2668,4.784
128,4.5259,0.1302,2519,7,4.3203,4.3628,4.4325,4.525,4.6096,4.6946,4.7432,4.3958,4.6561,4.2656,4.7863
129,4.5267,0.1313,2519,7,4.3219,4.3645,4.4323,4.5248,4.6123,4.6971,4.7452,4.3953,4.658,4.264,4.7893
130,4.5278,0.1329,2519,7,4.321,4.3644,4.4323,4.525,4.6159,4.7054,4.7528,4.3949,4.6607,4.262,4.7936
131,4.5297,0.1352,2519,7,4.3208,4.3644,4.4323,4.526,4.6173,4.7117,4.7632,4.3945,4.6649,4.2593,4.8002
132,4.5316,0.1383,2520,7,4.3148,4.3612,4.432,4.5257,4.6218,4.7173,4.7765,4.3933,4.6699,4.255,4.8082
133,4.5338,0.1417,2499,7,4.3123,4.3583,4.4331,4.5278,4.6274,4.727,4.7826,4.3921,4.6755,4.2505,4.8171
134,4.536,0.1455,2493,7,4.305,4.3541,4.4321,4.5309,4.6321,4.7309,4.7887,4.3904,4.6815,4.2449,4.827
135,4.5376,0.1498,2493,7,4.2946,4.3516,4.4307,4.5356,4.6414,4.7343,4.7934,4.3878,4.6874,4.238,4.8373
136,4.5381,0.154,2491,7,4.287,4.3418,4.4289,4.5411,4.65,4.7399,4.7969,4.3841,4.6921,4.2301,4.8461
137,4.5376,0.1575,2491,7,4.2775,4.3315,4.4225,4.5423,4.6558,4.7487,4.7999,4.3801,4.6951,4.2226,4.8526
138,4.536,0.1601,2491,7,4.2753,4.3264,4.4155,4.5417,4.6555,4.7466,4.7978,4.3759,4.6962,4.2157,4.8563
139,4.5339,0.1618,2491,7,4.2717,4.319,4.4107,4.5377,4.6546,4.7411,4.7954,4.3721,4.6957,4.2103,4.8575
140,4.5319,0.1625,2487,7,4.2693,4.3166,4.4083,4.5356,4.6536,4.7388,4.7927,4.3695,4.6944,4.207,4.8569
141,4.5308,0.163,2487,7,4.2696,4.3152,4.407,4.5371,4.6535,4.735,4.7913,4.3678,4.6937,4.2049,4.8567
142,4.5303,0.1636,2487,7,4.2647,4.3127,4.4049,4.5433,4.6562,4.735,4.7854,4.3667,4.6939,4.2031,4.8576
143,4.5303,0.1644,2487,7,4.2633,4.3076,4.4032,4.5464,4.6584,4.7352,4.7846,4.3659,4.6947,4.2015,4.8591
144,4.5302,0.1655,2487,7,4.2613,4.302,4.3993,4.5468,4.6578,4.7391,4.7884,4.3647,4.6957,4.1992,4.8612
145,4.5295,0.1664,2487,7,4.2603,4.3001,4.3984,4.5474,4.6541,4.7379,4.7938,4.3632,4.6959,4.1968,4.8623
146,4.5284,0.167,2487,7,4.2598,4.2972,4.3952,4.5459,4.6534,4.7368,4.7959,4.3613,4.6954,4.1943,4.8625
147,4.5271,0.1675,2487,7,4.2589,4.2945,4.3916,4.5433,4.6502,4.7359,4.7882,4.3597,4.6946,4.1922,4.8621
148,4.526,0.1676,2506,7,4.2538,4.2915,4.3915,4.5401,4.6491,4.7367,4.7855,4.3584,4.6936,4.1908,4.8612
149,4.5252,0.1672,2512,7,4.2534,4.2908,4.3924,4.5375,4.6481,4.7395,4.7859,4.358,4.6924,4.1908,4.8596
150,4.5255,0.1667,2512,7,4.2552,4.2918,4.3958,4.5335,4.6464,4.7399,4.7882,4.3588,4.6923,4.192,4.859
151,4.5272,0.1661,2514,7,4.2598,4.2954,4.3987,4.532,4.6432,4.7416,4.7936,4.3611,4.6933,4.195,4.8594
152,4.5299,0.1654,2513,7,4.2624,4.3006,4.4047,4.5345,4.648,4.7407,4.7938,4.3645,4.6953,4.1991,4.8608
153,4.534,0.1656,2511,7,4.2638,4.307,4.4115,4.5418,4.6541,4.7422,4.7964,4.3684,4.6997,4.2027,4.8653
154,4.5396,0.1673,2503,7,4.267,4.3159,4.4143,4.5478,4.6607,4.7445,4.7984,4.3723,4.7069,4.205,4.8742
155,4.5462,0.17,2490,7,4.2678,4.3183,4.4186,4.5524,4.6706,4.7523,4.8202,4.3762,4.7162,4.2062,4.8862
156,4.5535,0.1737,2490,7,4.267,4.3215,4.4228,4.5612,4.679,4.7671,4.8436,4.3798,4.7272,4.206,4.9009
157,4.5611,0.1774,2490,7,4.2712,4.3257,4.4325,4.5673,4.6881,4.7825,4.8627,4.3837,4.7386,4.2063,4.916
158,4.5688,0.1803,2480,7,4.2729,4.3309,4.439,4.5714,4.6982,4.7988,4.8826,4.3885,4.7491,4.2083,4.9294
159,4.5763,0.1816,2485,8,4.2805,4.335,4.4459,4.5766,4.7078,4.8073,4.8862,4.3947,4.7579,4.2132,4.9394
160,4.5839,0.1817,2491,8,4.2874,4.3413,4.4547,4.5866,4.715,4.8095,4.8882,4.4022,4.7656,4.2204,4.9474
161,4.5916,0.1807,2496,8,4.2937,4.3531,4.4606,4.5947,4.7209,4.8109,4.8906,4.4108,4.7723,4.2301,4.953
162,4.5994,0.1793,2502,8,4.3029,4.3644,4.4707,4.6044,4.7264,4.828,4.898,4.4201,4.7788,4.2407,4.9581
163,4.607,0.1784,2510,8,4.3212,4.3742,4.4791,4.6104,4.7325,4.8359,4.9056,4.4287,4.7854,4.2503,4.9637
164,4.6142,0.1781,2516,8,4.3369,4.3893,4.4847,4.6175,4.7366,4.8473,4.9155,4.4361,4.7923,4.2581,4.9704
165,4.6202,0.1784,2522,8,4.3492,4.3948,4.4851,4.6257,4.7435,4.8587,4.9272,4.4418,4.7987,4.2633,4.9771
166,4.6255,0.1794,2550,9,4.3551,4.3977,4.4861,4.6288,4.7505,4.8682,4.9364,4.4461,4.8049,4.2666,4.9843
167,4.6298,0.1807,2581,9,4.3528,4.4,4.4861,4.6299,4.7568,4.8742,4.9443,4.4492,4.8105,4.2685,4.9911
168,4.6331,0.1812,2613,9,4.3585,4.4019,4.4897,4.6325,4.7631,4.882,4.9515,4.4519,4.8143,4.2708,4.9954
169,4.6358,0.1808,2651,9,4.3622,4.4106,4.4959,4.6315,4.7684,4.8878,4.9519,4.455,4.8165,4.2743,4.9973
170,4.6379,0.1794,2698,9,4.3666,4.414,4.5006,4.6297,4.769,4.8817,4.9464,4.4585,4.8173,4.2791,4.9967
171,4.6395,0.177,2728,9,4.372,4.4194,4.5039,4.6286,4.7727,4.8769,4.9467,4.4625,4.8165,4.2855,4.9935
172,4.641,0.1743,2758,9,4.3804,4.4222,4.5059,4.6278,4.7721,4.8725,4.9366,4.4667,4.8153,4.2924,4.9897
173,4.6433,0.1719,2798,9,4.3833,4.4258,4.5081,4.6299,4.7726,4.8695,4.926,4.4713,4.8152,4.2994,4.9872
174,4.6461,0.17,2823,9,4.3879,4.4287,4.5112,4.634,4.7738,4.8703,4.9258,4.4761,4.816,4.3061,4.986
175,4.6491,0.1682,2847,9,4.3896,4.4297,4.5169,4.6454,4.7766,4.8699,4.9257,4.4809,4.8173,4.3127,4.9855
176,4.6517,0.1667,2872,9,4.3924,4.4319,4.5217,4.6553,4.781,4.8684,4.924,4.485,4.8184,4.3183,4.9851
177,4.6535,0.165,2896,9,4.3948,4.435,4.5242,4.6597,4.7799,4.8664,4.9191,4.4885,4.8186,4.3234,4.9836
178,4.6544,0.1628,2919,9,4.3954,4.4374,4.5262,4.6617,4.776,4.8636,4.9136,4.4916,4.8172,4.3288,4.98
179,4.6549,0.1595,2941,9,4.3983,4.4375,4.5278,4.6605,4.7731,4.8603,4.9084,4.4954,4.8144,4.3359,4.9739
180,4.6558,0.1554,2963,9,4.4027,4.4462,4.5352,4.6591,4.7685,4.8563,4.8999,4.5004,4.8113,4.3449,4.9667
181,4.6582,0.1515,2965,9,4.4115,4.4548,4.5417,4.6635,4.7661,4.8531,4.8904,4.5067,4.8096,4.3552,4.9611
182,4.6624,0.1479,2965,9,4.4232,4.4654,4.5485,4.669,4.7673,4.8466,4.8836,4.5145,4.8103,4.3665,4.9582
183,4.6683,0.1456,2965,9,4.4309,4.4748,4.5562,4.6779,4.7742,4.8523,4.8861,4.5227,4.814,4.3771,4.9596
184,4.6745,0.1445,2965,9,4.4351,4.4811,4.5669,4.6872,4.7819,4.8569,4.8962,4.5301,4.819,4.3856,4.9635
185,4.6806,0.1444,2965,9,4.4387,4.4862,4.5762,4.6963,4.7898,4.8652,4.912,4.5361,4.825,4.3917,4.9694
186,4.6852,0.1448,2965,9,4.4423,4.4896,4.5813,4.7003,4.7935,4.8666,4.9144,4.5404,4.83,4.3956,4.9748
187,4.6877,0.1453,2965,9,4.4427,4.4904,4.585,4.701,4.7975,4.8701,4.9189,4.5424,4.8331,4.397,4.9784
188,4.6878,0.1459,2962,9,4.4426,4.4921,4.5841,4.7008,4.7974,4.8692,4.9203,4.5419,4.8337,4.396,4.9796
189,4.6867,0.1467,2962,9,4.4403,4.4887,4.582,4.6957,4.7974,4.8692,4.9212,4.5401,4.8334,4.3934,4.9801
190,4.6859,0.1476,2960,9,4.436,4.4859,4.5759,4.6902,4.7946,4.8699,4.9212,4.5382,4.8335,4.3906,4.9811
191,4.6863,0.1489,2956,9,4.434,4.4854,4.5733,4.6855,4.7914,4.8717,4.9237,4.5374,4.8352,4.3885,4.9841
192,4.6885,0.1498,2956,9,4.4337,4.486,4.5797,4.6903,4.7946,4.8787,4.9289,4.5387,4.8383,4.3889,4.9881
193,4.6925,0.1501,2957,9,4.4348,4.4899,4.5861,4.6959,4.8016,4.8907,4.9369,4.5425,4.8426,4.3924,4.9927
