yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
168,5.4246,0.1953,4915,14,5.122,5.1716,5.2804,5.4151,5.5593,5.6777,5.7713,5.2294,5.6199,5.0341,5.8152
169,5.425,0.1959,4921,14,5.1219,5.1716,5.2774,5.4151,5.5584,5.679,5.7755,5.2291,5.6208,5.0332,5.8167
170,5.4257,0.1966,4939,14,5.1218,5.172,5.2772,5.416,5.5588,5.6785,5.7775,5.2291,5.6223,5.0326,5.8189
171,5.4272,0.1971,4955,14,5.1219,5.1752,5.2772,5.4135,5.5601,5.6828,5.7805,5.2301,5.6243,5.033,5.8214
172,5.4294,0.1974,4971,14,5.1253,5.177,5.28,5.4169,5.5651,5.6842,5.7911,5.2321,5.6268,5.0347,5.8242
173,5.4324,0.1976,4997,14,5.1309,5.1807,5.2822,5.4211,5.5669,5.6924,5.793,5.2348,5.63,5.0372,5.8276
174,5.4362,0.1975,5018,14,5.1353,5.1846,5.2876,5.4252,5.5714,5.703,5.7977,5.2387,5.6337,5.0413,5.8312
175,5.4403,0.1971,5023,14,5.1359,5.1883,5.2926,5.4302,5.574,5.706,5.8004,5.2431,5.6374,5.046,5.8345
176,5.4443,0.1965,5024,14,5.1383,5.1933,5.2968,5.4388,5.5782,5.7092,5.7996,5.2478,5.6408,5.0513,5.8373
177,5.448,0.1958,5024,14,5.1403,5.194,5.302,5.448,5.5816,5.7117,5.7992,5.2522,5.6439,5.0564,5.8397
178,5.4518,0.1951,5024,14,5.1409,5.1971,5.3045,5.4532,5.5856,5.7103,5.7966,5.2567,5.6469,5.0616,5.842
179,5.4554,0.1947,5023,14,5.1437,5.1992,5.3083,5.4594,5.5881,5.7104,5.7915,5.2608,5.6501,5.0661,5.8447
180,5.4595,0.1948,5015,14,5.1436,5.2016,5.3112,5.4682,5.5929,5.7116,5.791,5.2647,5.6543,5.0699,5.8492
181,5.4644,0.1957,5016,14,5.1409,5.1987,5.318,5.4769,5.5991,5.7145,5.7883,5.2687,5.6601,5.073,5.8559
182,5.4705,0.1971,5013,14,5.1396,5.1979,5.3254,5.4888,5.6092,5.7201,5.7906,5.2734,5.6677,5.0762,5.8648
183,5.4774,0.199,5014,14,5.1395,5.1983,5.3331,5.4992,5.6185,5.7284,5.7987,5.2784,5.6763,5.0794,5.8753
184,5.4846,0.2008,5023,14,5.1431,5.2011,5.3396,5.5084,5.6278,5.7354,5.8043,5.2838,5.6854,5.083,5.8861
185,5.4911,0.2023,5015,14,5.1456,5.203,5.3453,5.5182,5.6368,5.7458,5.8094,5.2888,5.6934,5.0865,5.8957
186,5.4966,0.2037,4991,14,5.1482,5.2043,5.3488,5.5238,5.6446,5.7548,5.8121,5.2929,5.7003,5.0892,5.904
187,5.501,0.2054,4988,14,5.1524,5.2105,5.3525,5.5236,5.6478,5.76,5.8189,5.2957,5.7064,5.0903,5.9118
188,5.5046,0.2072,4988,14,5.1525,5.2107,5.3536,5.5244,5.6517,5.7661,5.8287,5.2973,5.7118,5.0901,5.9191
189,5.5077,0.2099,4988,14,5.1514,5.2098,5.354,5.5256,5.656,5.7744,5.838,5.2978,5.7176,5.0879,5.9275
190,5.5112,0.2129,4988,14,5.1531,5.2089,5.3525,5.5296,5.661,5.7818,5.8425,5.2983,5.7241,5.0854,5.937
191,5.5157,0.2162,4986,14,5.1484,5.2043,5.3518,5.5321,5.6681,5.7924,5.8574,5.2995,5.7318,5.0833,5.948
192,5.5212,0.219,4986,14,5.1489,5.2095,5.356,5.5355,5.6738,5.8028,5.8704,5.3022,5.7402,5.0831,5.9592
193,5.5277,0.2216,4987,14,5.1525,5.2137,5.3631,5.5411,5.6802,5.8155,5.8904,5.3061,5.7494,5.0845,5.971
